gene	logfc	fdr
comp10116_c0_seq1_m.4572	-0.373558492	0.818503629
comp10117_c0_seq1_m.4573	0.064435836	0.965253713
comp10120_c0_seq1_m.39210	0.141411021	0.942812361
comp10120_c0_seq3_m.39212	0.005564944	0.994672096
comp10120_c0_seq7_m.39215	0.179767194	0.956647308
comp10121_c0_seq1_m.34677	0.094317822	0.927180479
comp10121_c0_seq3_m.34678	0.785141228	0.472379119
comp10124_c0_seq1_m.4574	-0.00259261	0.998992342
comp10126_c0_seq1_m.4575	-0.226187626	0.881325177
comp10127_c0_seq1_m.4577	0.1772362	0.872633351
comp10130_c0_seq1_m.4578	0.265092023	0.673350486
comp10132_c0_seq1_m.37030	0.135189417	0.783571811
comp10133_c0_seq1_m.4580	0.035860496	0.993537422
comp10134_c0_seq1_m.32649	-0.379924001	0.708925849
comp10134_c1_seq1_m.32650	-0.418704567	0.676160236
comp10134_c1_seq1_m.32651	0.420720871	0.96223123
comp10135_c0_seq1_m.4581	0.104939995	0.890547221
comp10136_c0_seq1_m.33791	-0.314423073	0.22882542
comp10136_c0_seq1_m.33792	-0.071922111	0.964843196
comp10137_c0_seq1_m.4582	-0.124411446	0.84463423
comp10138_c0_seq1_m.36683	-0.219848919	0.585798038
comp10138_c0_seq1_m.36684	0.15014299	0.939879736
comp10138_c0_seq1_m.36685	-0.082716192	0.984587915
comp10138_c0_seq2_m.36687	-0.219848514	0.585798038
comp10138_c0_seq2_m.36690	0.770121774	0.08060275
comp10139_c0_seq1_m.18885	0.449125683	0.856429283
comp10139_c0_seq2_m.18886	-1.451711343	0.018399797
comp10140_c0_seq1_m.4583	0.184011532	0.509788371
comp10141_c0_seq1_m.28939	0.21887081	0.7528034
comp10141_c1_seq1_m.28940	-0.046867372	0.987716417
comp10144_c0_seq1_m.30385	-0.553706181	0.579086626
comp10144_c0_seq1_m.30386	-0.314750689	0.758733896
comp10144_c0_seq2_m.30387	-0.489137744	0.267802979
comp10145_c0_seq1_m.4584	0.038580483	0.973414713
comp10146_c0_seq1_m.27687	-0.08944434	0.956023802
comp10148_c0_seq1_m.4587	-0.214633497	0.864705487
comp10149_c0_seq1_m.4588	0.42851084	0.831481527
comp10150_c0_seq1_m.4589	-0.136405864	0.863654749
comp10151_c0_seq1_m.30263	-0.278321991	0.738859338
comp10151_c0_seq2_m.30264	-0.269709901	0.797229998
comp10152_c0_seq1_m.25339	0.301340004	0.467571815
comp10152_c0_seq1_m.25340	0.517810663	0.477597716
comp10153_c0_seq1_m.31093	-0.003452423	0.998458255
comp10155_c0_seq1_m.4590	-0.163107948	0.847877707
comp10158_c0_seq1_m.4591	-0.005676685	0.993716066
comp10159_c0_seq1_m.4593	-0.102657528	0.949660649
comp10161_c0_seq1_m.4595	-0.020950452	0.99264021
comp10161_c0_seq1_m.4596	0.41536753	0.460324299
comp10162_c0_seq1_m.4598	0.243774913	0.815132954
comp10162_c0_seq1_m.4599	0.29182169	0.810127959
comp10162_c0_seq1_m.4601	0.29538742	0.881325177
comp10163_c0_seq1_m.4602	-0.029682526	0.985322998
comp10164_c0_seq1_m.27153	1.756468638	8.38E-06
comp10164_c1_seq1_m.27154	1.65388381	0.000390471
comp10166_c0_seq1_m.16296	-0.387562825	0.623983749
comp10166_c0_seq1_m.16297	-0.347908737	0.807961259
comp10166_c0_seq1_m.16298	-0.299509692	0.432991155
comp10166_c0_seq2_m.16299	-0.364537267	0.940053155
comp10166_c0_seq2_m.16300	-0.299510012	0.432991155
comp10167_c0_seq1_m.27707	0.1591467	0.977603737
comp10167_c0_seq2_m.27708	-0.063157773	0.980152905
comp10167_c0_seq4_m.27710	-0.054244973	0.988379935
comp10168_c0_seq1_m.4603	-0.762838672	0.026372315
comp10168_c0_seq1_m.4604	-0.490799019	0.746050865
comp10169_c0_seq1_m.38204	5.805623201	6.51E-19
comp10171_c0_seq1_m.18611	0.168295707	0.533145559
