lg	cm	id	sd
1 7.48 comp16509_c0_seq1_m.8989 Au
1 7.48 comp15534_c0_seq1_m.35886 Au
1 7.48 comp305_c0_seq1_m.77 Au
1 7.48 comp13750_c0_seq1_m.7096 Au
1 7.48 comp4077_c0_seq1_m.925 Au
1 7.48 comp4731_c0_seq1_m.1410 Au
1 7.48 comp2716_c0_seq1_m.549 Au
1 7.48 comp721_c0_seq1_m.206 Au
1 7.48 comp7738_c0_seq1_m.3112 Au
1 7.48 comp9674_c0_seq1_m.32741 Au
1 7.48 comp14356_c0_seq1_m.7556 Au
1 7.48 comp17533_c0_seq1_m.38666 Au
1 7.48 comp16736_c0_seq1_m.9149 Au
1 7.48 comp6537_c0_seq1_m.2369 Au
1 7.48 comp16509_c0_seq1_m.8990 Au
1 7.48 comp53340_c0_seq1_m.11637 Au
1 7.48 comp9008_c0_seq1_m.3858 Au
1 7.48 comp18461_c0_seq1_m.10144 Au
1 7.48 comp8457_c0_seq1_m.3506 Au
1 7.48 comp5150_c0_seq1_m.1721 Au
1 7.48 comp10875_c0_seq1_m.35107 Au
1 7.48 comp12125_c0_seq1_m.5946 Au
1 7.48 comp76892_c0_seq1_m.12218 Au
1 7.48 comp12049_c0_seq1_m.5889 Au
1 7.48 comp14356_c0_seq1_m.7555 Au
1 7.48 comp13104_c0_seq1_m.6658 Au
1 7.48 comp4513_c0_seq1_m.1208 Au
1 7.48 comp12044_c0_seq1_m.5881 Au
1 7.48 comp18399_c0_seq1_m.10107 Au
1 7.48 comp10627_c0_seq1_m.4911 Au
1 7.48 comp15288_c0_seq1_m.8192 Au
1 7.48 comp8522_c0_seq1_m.3539 Au
1 7.48 comp17423_c0_seq1_m.33000 Au
1 7.48 comp14022_c0_seq1_m.7281 Au
1 7.48 comp14383_c0_seq1_m.19640 Au
1 7.48 comp18930_c1_seq38_m.34967 Au
1 7.48 comp15456_c0_seq1_m.8299 Au
1 7.48 comp16424_c0_seq1_m.8938 Au
1 7.48 comp17921_c0_seq1_m.17133 Au
1 7.48 comp13312_c0_seq3_m.34537 Au
1 7.48 comp18548_c0_seq3_m.33425 Au
1 7.48 comp819_c0_seq1_m.226 Au
1 7.48 comp14393_c0_seq1_m.37229 Au
1 7.48 comp14383_c1_seq1_m.19641 Au
1 7.48 comp16424_c0_seq1_m.8936 Au
1 7.48 comp15948_c0_seq1_m.19412 Au
1 7.48 comp18514_c0_seq1_m.32349 Au
1 7.48 comp12906_c0_seq1_m.33707 Au
1 7.48 comp18948_c0_seq1_m.10401 Au
1 7.48 comp10870_c0_seq1_m.5084 Au
1 7.48 comp9263_c0_seq1_m.4019 Au
1 7.48 comp11259_c0_seq1_m.5329 Au
1 7.48 comp13312_c0_seq3_m.34538 Au
1 7.48 comp12560_c0_seq1_m.6251 Au
1 7.48 comp7044_c0_seq1_m.2698 Au
1 7.48 comp14699_c0_seq1_m.7770 Au
1 7.48 comp7674_c0_seq1_m.3071 Au
1 7.48 comp14787_c0_seq1_m.33841 Au
1 7.48 comp9009_c0_seq1_m.3859 Au
1 7.48 comp13500_c0_seq1_m.6942 Au
1 7.48 comp7712_c0_seq1_m.3092 Au
1 7.48 comp16945_c0_seq1_m.9261 Au
1 7.48 comp14841_c0_seq1_m.7861 Au
1 7.48 comp8873_c0_seq1_m.3769 Au
1 7.48 comp18432_c0_seq1_m.16877 Au
1 7.48 comp16192_c0_seq1_m.8798 Au
1 7.48 comp10337_c0_seq1_m.4714 Au
1 7.48 comp11201_c0_seq1_m.29938 Au
1 7.48 comp12593_c0_seq1_m.6283 Au
1 7.48 comp14234_c0_seq1_m.7467 Au
1 7.48 comp17921_c0_seq1_m.17131 Au
1 7.48 comp18006_c0_seq1_m.9873 Au
1 7.48 comp18699_c0_seq1_m.22216 Au
1 7.48 comp16391_c0_seq1_m.8915 Au
1 7.48 comp17842_c0_seq1_m.9795 Au
1 7.48 comp16989_c0_seq1_m.9288 Au
1 7.48 comp11101_c0_seq1_m.25423 Au
1 7.48 comp15703_c0_seq1_m.26711 Au
1 7.48 comp17123_c0_seq1_m.33244 Au
1 7.48 comp16796_c0_seq1_m.28250 Au
1 7.48 comp12481_c0_seq1_m.30717 Au
1 7.48 comp17449_c0_seq1_m.27816 Au
1 7.48 comp15976_c0_seq1_m.8644 Au
1 7.48 comp8806_c1_seq1_m.32804 Au
1 7.48 comp11927_c0_seq1_m.5801 Au
1 7.48 comp10925_c0_seq1_m.27704 Au
1 7.48 comp8866_c0_seq1_m.3760 Au
1 7.48 comp18014_c0_seq1_m.22292 Au
1 7.48 comp9186_c0_seq1_m.3965 Au
1 7.48 comp8596_c0_seq1_m.3583 Au
1 7.48 comp9529_c0_seq1_m.4193 Au
1 7.48 comp6878_c0_seq1_m.2609 Au
1 7.48 comp15734_c0_seq1_m.35760 Au
1 7.48 comp11522_c0_seq1_m.5501 Au
1 7.48 comp6324_c0_seq1_m.2250 Au
1 7.48 comp10168_c0_seq1_m.4603 Au
1 7.48 comp18076_c0_seq1_m.36551 Au
1 7.48 comp15326_c0_seq1_m.8214 Au
1 7.48 comp18014_c0_seq2_m.22295 Au
1 7.48 comp6945_c0_seq1_m.2654 Au
1 7.48 comp18076_c0_seq1_m.36550 Au
1 7.48 comp15544_c0_seq1_m.8363 Au
1 7.48 comp15544_c0_seq1_m.8364 Au
1 7.48 comp6536_c0_seq1_m.2368 Au
1 7.48 comp13704_c0_seq1_m.7062 Au
1 9.33 comp8433_c0_seq1_m.37331 Au
1 9.33 comp11281_c0_seq1_m.37301 Au
1 9.33 comp10444_c0_seq1_m.4780 Au
1 9.33 comp4322_c0_seq1_m.1068 Au
1 9.33 comp12545_c0_seq1_m.17803 Au
1 9.33 comp19338_c0_seq1_m.10508 Au
1 9.33 comp9283_c0_seq1_m.4036 Au
1 9.33 comp9211_c0_seq1_m.3981 Au
1 9.33 comp17759_c0_seq1_m.21562 Au
1 9.33 comp16158_c0_seq1_m.8775 Au
1 9.33 comp8556_c0_seq1_m.3558 Au
1 9.33 comp44700_c0_seq1_m.11421 Au
1 9.33 comp10705_c0_seq1_m.4974 Au
1 9.33 comp4961_c0_seq1_m.1577 Au
1 9.33 comp11640_c0_seq2_m.26457 Au
1 9.33 comp11696_c0_seq1_m.5639 Au
1 9.33 comp3960_c0_seq1_m.843 Au
1 9.33 comp14684_c0_seq3_m.34995 Au
1 9.33 comp1164_c0_seq1_m.303 Au
1 9.33 comp9166_c0_seq1_m.29591 Au
1 9.33 comp10561_c0_seq1_m.4866 Au
1 9.33 comp12906_c0_seq1_m.33706 Au
1 9.33 comp14529_c0_seq1_m.7669 Au
1 9.33 comp12316_c0_seq1_m.17597 Au
1 9.33 comp14361_c0_seq1_m.7558 Au
1 9.33 comp7951_c0_seq1_m.18826 Au
1 9.33 comp7207_c0_seq1_m.25923 Au
1 9.33 comp16716_c0_seq1_m.29845 Au
1 9.33 comp6828_c0_seq1_m.17234 Au
1 9.33 comp16430_c0_seq1_m.8939 Au
1 9.33 comp74172_c0_seq1_m.12149 Au
1 9.33 comp14838_c0_seq1_m.7859 Au
1 9.33 comp11907_c0_seq1_m.5791 Au
1 9.33 comp9110_c0_seq1_m.29618 Au
1 9.33 comp15988_c0_seq1_m.8652 Au
1 9.33 comp7011_c0_seq1_m.2677 Au
1 9.33 comp42221_c0_seq1_m.11375 Au
1 9.33 comp17172_c1_seq3_m.26788 Au
1 9.33 comp14321_c0_seq1_m.7531 Au
1 9.33 comp15705_c0_seq1_m.33088 Au
1 9.33 comp10955_c0_seq1_m.5141 Au
1 9.33 comp16842_c0_seq1_m.9210 Au
1 9.33 comp14708_c0_seq1_m.7775 Au
1 9.33 comp15510_c0_seq2_m.23712 Au
1 9.33 comp6831_c0_seq1_m.2578 Au
1 9.33 comp13083_c0_seq1_m.6650 Au
1 11.18 comp4328_c0_seq1_m.1070 Au
1 11.18 comp17182_c0_seq1_m.9399 Au
